# Hymmnos（塔语）词典 · 共881条 · 来源 github.com/KevinOctavianus/hymmno（HymmnoLexicon 0.3）
# 列：词	词性	英文释义	原作例句	方言（Unknown [Unofficial] = 同好补充的非官方词，优先用官方词）
# 用法：grep -i "wind" 设定/参考/hymmnos词典.tsv   （按英文释义查词）
ga	E.s. III	I want this to end soon	Was paks ga suwant mea irs here an yor  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
gagis	E.s. III	I'm all right like this	Rrha i gagis guatrz gyas  —EXEC_HIBERNATION/.	Metafalss Note
ganna	adj./n.	strong, stubborn, solid, stone, rock (Note	It's normally used to indicate the hardness of a material or the stubbornness of a mind. As a noun, it means "rock" and "stone"): cest yor vianchiel ween ganna shell  —EXEC_SPHILIA/.	Central Standard Note
garlden	n.	town		Central Standard Note
gasar	n.	doll, stuffed animal		New Testament of Pastalie
gat	n.	curse	Ciel fusya en gat ftt  —EXEC_VIENA/.	Central Standard Note
gatyunla	n.	cursed land, hell		Cult Ciel Note
gatyuny	n.	curse		Cult Ciel Note
gaunji	v.	torment, torture	en whai pauwel gaunji yasra whou na cenjue sor tou zuieg  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
gauto	noun	dark skies, overcast, dark clouds		Unknown [Unofficial]
gauv	n.	sin, blame		Unknown [Unofficial]
gauzewiga	v.	despair	van fandel gauzewiga der lamenza  —EXEC_HARMONIOUS	Metafalss Note
gaya	E.s. III	I never want to go back to how I was before	Rrha cyuie gaya na ieeya crushue anw dornpica rhaplanca  —EXEC_HIBERNATION/.	Central Standard Note
geeow	n./v.	oath, vow, resolve		Central Standard Note
getrra	adj.	dirty, impure	Rrha ki ra hymme PAJA yor getrra en gott wi gyas  —EXEC_PURGER/.#Aurica extracting	Central Standard Note
gfine	noun	time		Unknown [Unofficial]
gigeadeth	adj./n.	steel, iron (Note	It can be used both as an adjective and a noun): Ween colgen fayra Race mea wis gigeadeth zeeth tie yor  —EXEC_DESPEDIA/.	Central Standard Note
giue	n.	body	Wee ki ra araus tes soare en giue mea iem  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
giz	n./v.	fear, dread, terror	vega ouvyu giz sphaela  —METHOD_REPLEKIA/.	Unknown [Unofficial]
gkgul	adj.	cracked	x. rre rhaplanca t.n.m.n. poe ess gkgul doodu  —METHOD_METAFALICA/.	New Testament of Pastalie
glansee	adj.	divine, exalted (Note	adding "LYA" before it changes its meaning to "God").: x. rre urgn zz t.k.d. ut glansee  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
glasden	adj.	highest, supreme, most	Was yea ra chs hymmnos la glasden yehah  —EXEC_SOL=FAGE/.	Metafalss Note
goa	conj.	only ~ (it's used in the same way as the English "only")	x. harr v.t. goa balduo sphaela  —METHOD_REPLEKIA/.	New Testament of Pastalie
gool	adjective	starved, parched		Central Standard Note
got	v.	get, obtain	Rrha yea ra rinc en echrra yor rre walasye jyel got ieeya  —Singing Hill - Harmonics FRELIA	Cult Ciel Note
gott	v	Get off! Go away! (dirty feeling)	Rrha ki ra hymme PAJA yor getrra en gott wi gyas  —EXEC_PURGER/.#Aurica extracting	Central Standard Note
govan	adj.	violent, excited, vehement, intense	x. rre govan en wefa sarla f.w.r.n. du dje  —METHOD_METAFALICA/.	Pastalie [Unofficial]
govaz	n.	fiancee		Cult Ciel Note
gral	adj.	all of, entire		New Testament of Pastalie
gran	v.	open the curtain	Rrha ki ga gran wael wassa  —EXEC_SOL=FAGE/.	Cult Ciel Note
grandee	n.	guardian	Wee ki ra chs Chronicle Key en grandee sos dius yor  —EXEC_CHRONICLE KEY	Metafalss Note
grandus	v.	defend, protect	Forgandal ar dius near grandus mea der dilete  —Singing Hill - Harmonics FRELIA	Metafalss Note
granme	E.s. II	Wishing to protect someone, courage	Den harr granme irs pitod enrer  —EXEC_METAFALICA/.	Central Standard Note
grave	n.	mountain recesses, interior (of a building, etc.)		Cult Ciel Note
grlanza	v.	dance	chs plina en grlanza art fhyu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
grow	adjective	insolent, arrogant		Unknown [Unofficial]
grrena	adj./n.	green (Note	It can be used both as a noun and adjective. As a noun, it's used for non-green plants): celetille burle bautifal grrena  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
grruw	v.	raise, grow up	Was yea ra grruw heetha  —EXEC_HIBERNATION/.	Central Standard Note
guard	n.	protection		Central Standard Note
guatrz	n.	anger, hatred	zadius en guatrz omnis mea  —EXEC_SPHILIA/.	Central Standard Note
guaysu	v.	hang one's head (in shame, etc.)	Was nyasri ga hieg yorra guaysu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
guol	v.	close (a door, etc.)		Central Standard Note
guwo	E.s. II	anger, resentment	faf mea guwo mea  —EXEC_SPHILIA/.	Central Standard Note
gyaje	n.	error, mistake	Was ki ra na fogabe anw sial gyaje  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
gyajlee	n.	criminal, sinner	Wassee fatere gyajlee deata  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
gyas	n.	evil spirit, bad component	Rrha ki ra hymme PAJA yor getrra en gott wi gyas  —EXEC_PURGER/.#Aurica extracting	Central Standard Note
gyen	v.	spin, craft, create magic	Was yea ra hymme mea ks maya gyen yeal  —Hoshiyomi ~HOSHIYOMI~	Cult Ciel Note
gyenel	n.	wizard, mage, sorcerer		Cult Ciel Note
gyengyat	v.	devour, lustfully eat		Cult Ciel Note
gyuss	n.	embrace, hug	Tasyue anw gyuss en yosyua yor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
gyusya	v.	rule, control	Hyear Ma num ra gyusya yorr ee Dia oz ruinien  —EXEC_DESPEDIA/.	Central Standard Note
h.k.t.t.	E.v.	embrace, hug		New Testament of Pastalie
h.l.s.s.	E.v.	grieve, sigh	x. rre f.r.l. h.l.s.s. ayulsa dazua  —METHOD_REPLEKIA/.	New Testament of Pastalie
h.m.m.r.	E.v.	sing	h.m.m.r. et  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	New Testament of Pastalie
h.p.p.	E.v.	think, feel		New Testament of Pastalie
h.p.ps.	E.v.	have (someone) on one's mind		New Testament of Pastalie
h.r.n.t.	E.v.	go on a journey		New Testament of Pastalie
h.w.s.s.	E.v.	grow, mature	x. rre poe h.w.s.s. ut varda  —METHOD_METAFALICA/.	New Testament of Pastalie
haf	v.	have, own, hold	Den harr haf nell pauwel  —EXEC_METAFALICA/.	Central Standard Note
handeres	n./v.	defeat, loss		Central Standard Note
hao	adj.	above, superior		Central Standard Note
harmon	v.	do ~ together (in great numbers)	Wee yea ra hymme hymmnos harmon en syast et wi powel  —Singing Hill - Harmonics FRELIA	Central Standard Note
harphe	n.	morning	x. sorr a.u.k. zess l.l.n. anw aje harphe  —METHOD_IMPLANTA/.	New Testament of Pastalie
harr	pro.	she	x. harr h.m.m.r. eje  —METHOD_REPLEKIA/.	Central Standard Note
harra	pro.	she (plural)		Central Standard Note
hars	n.	her (plural)		Central Standard Note
hartes	v.	love	y.z.t. za rre vega f.s. t.k.d. ag zz t.k.d. tie hartes yor  —METHOD_METAFALICA/.	Cult Ciel Note
harton	n.	love	Wee yea ra reen harton yos warma hynne reen yos warma hynne  —Eternally Bonded	Central Standard Note
has	n.	her	Rre fandel heighte has en plina  —EXEC_METAFALICA/.	Central Standard Note
hasyu	n.	fish	chs hasyu en zassyen der sielp  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
heath	adj.	scalding hot		Central Standard Note
heetha	adj./n.	health, healthy	Was yea ra grruw heetha  —EXEC_HIBERNATION/.	Central Standard Note
heighte	v.	injure, wound	gott denera heighte mea  —Colors~SEN~Will This Flower Bloom?	Metafalss Note
hellei	E.s. II	(unknown meaning)	Fou hellei ga  —EXEC_HARMONIOUS_FUSION/.	
her	pro.	this		Central Standard Note
here	adv.	here	Den here irs ar vinan frawr ween titilia shellan  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
herr	pro.	he	f.w.r.n. yor herr en harr mea infel  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
herra	pro.	he (plural)	herra pagle harr riomo hueaf  —EXEC_METAFALICA/.	Central Standard Note
hers	n.	him (plural)		Central Standard Note
hes	n.	him		Central Standard Note
hieg	adj./v.	sad, to be sad	Was nyasri ga hieg yorra guaysu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
hierle	adj./v.	sad, to be sad	tasyue yorr yehar elle fandel hierle  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
hiew	n.	sadness		New Testament of Pastalie
hiewi	adj.	heart-breaking, sad		New Testament of Pastalie
hiralg	n.	thirst	x. rre qejyu ssvid hiralg ag xevxl  —METHOD_METAFALICA/.	Unknown [Unofficial]
hopb	n.	heart, mind (when presenting it as a phenomenon)	innna ar hopb syec mea ya ya  —Singing Hill	Cult Ciel Note
houd	v.	embrace, hug	Was yea ra ieeya houd  —Eternally Bonded	Central Standard Note
how	conj.	how, like ~	sacra how clalliss  —EXEC_HARMONIOUS_FUSION/.	Unknown [Unofficial]
hueaf	adj./n.	futile, useless, worthless, waste of effort	herra pagle harr riomo hueaf  —EXEC_METAFALICA/.	Central Standard Note
hyear	int.	hey, you (to get someone's attention) (Note	Used both for admiration and calling. It can be pronounced as "hyear" or "ya", but generally, "ya" is the only way used because of being faster to pronounce): yehar hyear Rrha num ra hymme cest mea  —EXEC_METAFALICA/.	Central Standard Note
hyma	v.	listen (to words)		Central Standard Note
hymma	n.	small bird (Note	This word originally meant "music player", and it originated from "hymme").: Chs hymma en famfa der ciel  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
hymme	v./n.	sing, play (a instrument), resonate (Note	It can be also used as a noun. In that case, it would mean "waves", "waving", and "vibration of formless things").: Fou yea ra waath ar ciel en hymme mea weel nepo en keen ar sar  —EXEC_PHANTASMAGORIA/.	Central Standard Note
hymmne	n.	sound waves, tune, melody (Note	Has lighter connotations than Hymmnos. It actually is used for talking about songs in a more superficial form).: chs hymmne  —Hoshiyomi ~HOSHIYOMI~	Central Standard Note
hymmnos	n.	song, Hymmnos	Was yea ra chs hymmnos yor  —Singing Hill	Central Standard Note
hynne	n.	voice	Kiafa hynne mea pagle tes yor  —EXEC_SPHILIA/.	Central Standard Note
hyzik	n.	body	Fou paks ra diasee sarrifis hyzik tes dius yor  —EXEC_LINKER	Alpha Note (EOLIA)
i	E.s. II	impatience	Nn i ga exec hymme METAFALICA >> SOL=FAGE/1x10 enter FRELIA  —EXEC_METAFALICA/.	Central Standard Note
iasien	n.	morning dew	Wee yea ra rre lyafre famfa en jass anw iasien  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
ides	n.	past	ides loss bautifal sarla  —EXEC_SPHILIA/.	Central Standard Note
idesy	adj.	of the past	art crudea en raklya art idesy memora  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
ieeya	n.	hope, wish	ieeya  —EXEC_HIBERNATION/.	Central Standard Note
iem	n.	now	van futare parge iem  —EXEC_VIENA/.	Metafalss Note
infel	n.	love ( Note	"infel yor" means "thank you"): llizz ene infel den layy  —The Heart Speaks	Metafalss Note
inferiare	adj.	beloved	Rrha ki ra sarrifis mea noes tes inferiare saash  —EXEC_SOL=FAGE/.	Metafalss Note
ini	v.	initialize, purify	Haaa tie yor ini en nha parge yor ar foul ciel  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	Cult Ciel Note
innna	n.	inside (of the Soulspace), within one's heart	innna ar hopb syec mea ya ya  —Singing Hill	Cult Ciel Note
irs	v.	exist	irs jam inferiare yor yehar jyel fusya  —Singing Hill - Harmonics FRELIA	Central Standard Note
j.d.r.	E.v.	aprehend, capture		Pastalie [Unofficial]
j.l.j.	E.v.	capture, adhere, take in		New Testament of Pastalie
j.l.r.	E.v.	calm down, return to one's self		New Testament of Pastalie
j.w.	E.v.	entrust		New Testament of Pastalie
j.z.t.	E.v.	execute, invoke	x. harr j.z.t. ouwua giz hymmnos  —METHOD_REPLEKIA/.	New Testament of Pastalie
jam	adv.	together	irs jam inferiare yor yehar jyel fusya  —Singing Hill - Harmonics FRELIA	Central Standard Note
jambea	n.	foot, leg	en chess won vinan jambea mea gigeadeth zeeth tie yor  —EXEC_DESPEDIA/.	Central Standard Note
jass	v.	seek, request, wish for	Wee yea ra rre lyafre famfa en jass anw iasien  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
jastil	v.	Come!, Let's go!		Unknown [Unofficial]
jefea	adj.	lamenting, grieving		Unknown [Unofficial]
jenge	n.	enemy, rival, opponent		Cult Ciel Note
jenhah	n.	disaster, misfortune	jenhah gyas faf morto  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
jouee	n.	God's power	Rrha ki ra echcrra jouee Rrha ki ra chs hymmnos mea  —EXEC_METAFALICA/.	Central Standard Note
jue	n.	water		Pastalie [Unofficial]
jyel	E.s. II	loneliness	van yor jyel der polon  —EXEC_VIENA/.	Central Standard Note
k.f.k.k.	E.v.	sneer, ridiculize, scorn		Pastalie [Unofficial]
k.r.	E.v.	play, frolic		New Testament of Pastalie
k.v.n.r.	E.v.	challenge, defy		New Testament of Pastalie
k.v.r.	E.v.	cover, wrap	x. harr k.v.r. du qejyu  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
kajya	adj.	necessary, needed		New Testament of Pastalie
kapa	n.	water	fayra en kapa weak en sheak  —EXEC_METAFALICA/.	Cult Ciel Note
karf	particle	that, these		Unknown [Unofficial]
keen	v.	shine	Fou yea ra waath ar ciel en hymme mea weel nepo en keen ar sar  —EXEC_PHANTASMAGORIA/.	Central Standard Note
keenis	n.	radiance	wassee forgandal dauane keenis na nozess  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
keg	n.	branch	ar w.r.l. du cia dn ryewa keg  —METHOD_METAFALICA/.	New Testament of Pastalie
khal	v.	protect, defend	Was yea erra chs weak en khal anw yeal  —EXEC_VIENA/.	Central Standard Note
ki	E.s. II	concentration, focus, seriousness	Rrha ki ra hymme PAJA yor getrra en gott wi gyas  —EXEC_PURGER/.#Aurica extracting	Central Standard Note
kiafa	v.	hear, listen	Presia kiafa sarla mea  —EXEC_HARMONIOUS	Metafalss Note
kiakkya	noun	friend		Unknown [Unofficial]
kiala	adjective, noun	gold, golden		Unknown [Unofficial]
kieghl		(unknown meaning)		
kierre	n.	instant, moment	Alroetsue kierre iem  —EXEC_HARMONIOUS	Metafalss Note
kil	v.	kill		Central Standard Note
knawa	v.	know	Ar knawa yor  —EXEC_SPHILIA/.	Central Standard Note
kneet	adj.	late, be late, be too late	Ma num ra tictim yorr wis kneet hueaf van yorr zaffur  —EXEC_DESPEDIA/.	Central Standard Note
koffl	verb	drink		Unknown [Unofficial]
konla	noun	love		Unknown [Unofficial]
koora	n.	stream	hymme rol hymmer selena rol koora  —Chanting the Moon ~Tsukikanade~	Central Standard Note
kouf	n.	sigh	en h.k.t.t nafan du ouwua kouf  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
ks	v.	give a hint	Ma ki ga ks maya yor syec  —Singing Hill	Cult Ciel Note
kuhle	n.	poison	llizz discest vine den kuhle  —The Heart Speaks	Central Standard Note
kvvia	n.	regrets, repentance	w.w.j.n.c. syalea en zz kvvia  —METHOD_METAFALICA/.	Unknown [Unofficial]
kvyeire	n.	end, ending	x. rre vonn papana f.p.n. ut kvyeire qoga iem  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Unknown [Unofficial]
kyll	v.	cut, detach	Ween shellan re kyll fwal  —EXEC_SPHILIA/.	Unknown [Unofficial]
l.k.k.	E.v.	look up at, admire	x. harr l.k.k. maen  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
l.l.n.	E.v.	bless	x. sorr a.u.k. zess l.l.n. anw aje harphe  —METHOD_IMPLANTA/.	New Testament of Pastalie
l.n.c.a.	E.v.	tie together, connect	l.n.c.a. w.w.j.n.c. syec sphilar  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	New Testament of Pastalie
la	pre.	*that* (used to emphasize, in front of a vowel sound)	Was yea ra chs hymmnos la glasden yehah  —EXEC_SOL=FAGE/.	Central Standard Note
lamenza	n.	lament, grief	van fandel gauzewiga der lamenza  —EXEC_HARMONIOUS	Metafalss Note
lamenzeo	adjective, adverb	borne of laments, borne of grief		Unknown [Unofficial]
lapo	v.	meet (by chance), rendezvous		Cult Ciel Note
lasye	n.	boy, young man		Central Standard Note
lau	Emotion Sound (II)	fear, dread		Unknown [Unofficial]
lautyca	verb	fall down		Unknown [Unofficial]
layy	adj.	lie, false, imaginary	llizz ene infel den layy  —The Heart Speaks	Unknown [Unofficial]
leaff	n.	book, books, picture book	Den na orviclle vis ween leaff  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
leat	v.	play (instrument) (Note	It's very similar to the "singing" meaning of "hymme", but it's used in a much more figurative manner): En hymmne leat mea en ciel  —Singing Hill	Central Standard Note
lequera	n.	Gooddoer, good person	Fou paks ra chs lequera en chs frawr  —Chanting the Moon ~Tsukikanade~	Cult Ciel Note
lhasya	verb	connect, tie together		Unknown [Unofficial]
li	pre.	*that* (used to emphasize, in front of a consonant sound)	Ma num wa nnoini li fhyu  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
linen	v.	talk, recite		Cult Ciel Note
lir	n.	light		Alpha Note (EOLIA)
lirle	n.	summer		Cult Ciel Note
llizz	adv.	possibly, maybe, perhaps	llizz discest vine den kuhle  —The Heart Speaks	Central Standard Note
lof	n.	place		Cult Ciel Note
lonfa	n.	soul	presia aterra cremia sos viuy lonfa  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
lornya	noun	honey		Unknown [Unofficial]
loss	adj.	dead, lost	ides loss bautifal sarla  —EXEC_SPHILIA/.	Unknown [Unofficial]
lulurnya	noun	joy, happiness		Unknown [Unofficial]
lurrea	v.	fear	van fandel wis lurrea  —EXEC_HARMONIOUS	Metafalss Note
lusye	n.	light	wassee anw fane lusye  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Metafalss Note
lyafre	n.	butterfly	Wee yea ra rre lyafre famfa en jass anw iasien  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
lyrnya	adjective	gentle, peaceful		Unknown [Unofficial]
lyuma	n.	star, planet (Note	if it has a "LYA" before it, the meaning changes to "Maiden of Mio"): x. rre sarr m.n.g. du tyui lyuma  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
m.a.m.	E.v.	exist		New Testament of Pastalie
m.f.l.	E.v.	cover, shroud		Pastalie [Unofficial]
m.n.g.	E.v.	drink, understand, learn	x. rre sarr m.n.g. du tyui lyuma  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
m.r.r.	E.v.	reflect, project	x. sorr m.r.r. du sphaela  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
m.t.y.y.	E.v.	create, give birth to	x. rre m.t.y.y. giz w.s. du giz  —METHOD_REPLEKIA/.	New Testament of Pastalie
maen	n.	full moon	x. harr l.k.k. maen  —METHOD_REPLEKIA/.	New Testament of Pastalie
mahin	n.	hand		Central Standard Note
manaf	n.	life, existence	manaf O  —EXEC_PURGER/.#Aurica extracting	Metafalss Note
manafaln	n.	reincarnation		Cult Ciel Note
manafeeze	v.	live		Metafalss Note
maoh	noun	Maoh, Rhaplanca's partner in Meta Falss mythology		Metafalss Note
marfo	adjective	beloved, dear		Unknown [Unofficial]
marta	n./adj.	mother, motherly	Was i ra presia fogabe marta presia fogabe marta  —Eternally Bonded	Metafalss Note
maun	n.	eyelid	en tarfe tou yos maun  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
maxim	adj./adv.	most, extremely	den vinan fusya omnis dius en fusya maxim  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
maya	n.	magic, supernatural	Ma ki ga ks maya yor syec  —Singing Hill	Cult Ciel Note
mea	n.	me (object)	Rrha ki ra nha-HYMMNOS1x01 >> pat mea en xest SOL=MARTA > A2  —EXEC_SOL=FAGE/.	Central Standard Note
mean	n.	us (object)		Central Standard Note
meaql	adjective	gentle		Unknown [Unofficial]
melenas	v.	love, very fond of (Note	Used to talk about the most irreplaceable person to the speaker): Rrha yea ra melenas yor syec syec  —EXEC_DESPEDIA/.	Cult Ciel Note
melifan	n.	history	fandel zadius hierle melifan iem endia  —EXEC_HARMONIOUS	Metafalss Note
melvaz	n.	bride		Cult Ciel Note
memora	n.	memory	Synk sor al memora en knawa Ar tonelico  —EXEC_LINKER	Central Standard Note
meo	n.	ideal, dream		Central Standard Note
merfa	adj./n.	pure, pure wishes	h.k.t.t merfa tie yor en h.m.m.r. METAFALICA  —METHOD_METAFALICA/.	Pastalie [Unofficial]
merra	n.	us (subject)		Central Standard Note
meryu	n.	memory (Note	if it's preceeded by an "A" emotion vowel, then its meaning is changed to "dream")	New Testament of Pastalie
meso	v.	scatter, leave untidy	Rrha wol ra eta meso faura anw dornpica  —EXEC_HIBERNATION/.	Central Standard Note
messe	v.	report, transmit, convey	Presia messe noce yor tes mea  —EXEC_SPHILIA/.	Central Standard Note
milra	noun	fragrance		Unknown [Unofficial]
mirie	n.	warmth	x. rre s.n.k.k. mirie ag h.m.m.r. eje  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
morto	n./v.	death, die	jenhah gyas faf morto  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
murfan	v.	feel, think	Hierle faura murfan anw yeeel ciel  —EXEC_VIENA/.	Metafalss Note
murfanare	n.	feeling, thought	Was yea ra murfanare  —EXEC_HIBERNATION/.	Metafalss Note
mutrk	n.	warmth	x. sorr a.u.k. mutrk rhaplanca en Implanta  —METHOD_METAFALICA/.	Pastalie [Unofficial]
n.d.n.	E.v.	lay, put down, hide		Pastalie [Unofficial]
n.e.g.	Emotion Verb	pray		Pastalie [Unofficial]
n.m.l.	E.v.	dye, color	x. rre cia n.m.l. ut talam ag f.r.l. du tussu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
n.t.n.	E.v.	continue, go on	x. harr n.t.n. hymmnos  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
na	adv.	no, not, negation	Hymmnos oz faura pomb na omnis den accrroad  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
naave	conj.	because ~		New Testament of Pastalie
nafa	adj.	easy, gentle	v.s.k. sarr arhou nafa infel  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
nafan	adj.	kind, tender	x. rre h.k.t.t nafan ouwua siann arhou  —METHOD_REPLEKIA/.	New Testament of Pastalie
naflansee	n.	happiness, good fortune		New Testament of Pastalie
naja	v.	escape, retreat, disappear, leave	Rrha wol ra stel naja getrra faura anw dornpica  —EXEC_HIBERNATION/.	Cult Ciel Note
near	n.	life	Was yea ra waath near en hymme RE=NATION mea  —EXEC_RE=NATION/.	Central Standard Note
neath	adjective	red hot, scorching		Unknown [Unofficial]
nedle	v.	need	Was au ga whai pauwel ferda enter whou na nedle sor  —EXEC_CHRONICLE KEY	Alpha Note (EOLIA)
neee	v.	call out		Central Standard Note
neen	adjective, adverb	too much, excessive, beyond reason		Cult Ciel Note
neia	v.	approach, draw near	Was paks ra neia bautifal faura tes dornpica  —EXEC_HIBERNATION/.	Central Standard Note
nene	adj.	not understand		Cult Ciel Note
nepo	v.	moisten	Fou yea ra waath ar ciel en hymme mea weel nepo en keen ar sar  —EXEC_PHANTASMAGORIA/.	Central Standard Note
netvear	v.	give up, abandon, be discouraged		Central Standard Note
nezz	n.	nose		Central Standard Note
nha	v.	let in, summon (Note	It isn't used to refer to a physical phenomenon, rather, it's for situations were magic is being used): Haaa tie yor ini en nha parge yor ar foul ciel  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	Cult Ciel Note
nhaf	adj.	surprised, dazed	Harr ar vit plina has nhaf  —EXEC_METAFALICA/.	Unknown [Unofficial]
nille	v.	resemble, resemblance, be alike	Yorr nille mea  —EXEC_SPHILIA/.	Central Standard Note
nnoini	adv.	first (Note	Combination of "Nnoi" (1) and "Ini" (Initialize)): Ma num wa nnoini li fhyu  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
noce	n.	natural, spontaneous	Presia messe noce yor tes mea  —EXEC_SPHILIA/.	Cult Ciel Note
noes	n.	oneself	was ki ra yorra sarrifis anw omnis noes Wassee  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
noglle	adj./n.	black	vinan yor noglle yor  —EXEC_SPHILIA/.	Central Standard Note
nooge	v.	sleep		Cult Ciel Note
nor	pre.	or, either	infel nor khule hopb  —The Heart Speaks	Unknown [Unofficial]
nosaash	n.	goddess		Cult Ciel Note
nozess	v.	lose, get rid of, waste	wassee forgandal dauane keenis na nozess  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
nuih	n.	night	Wee yea ra wael nuih bexm xl yor yaha tes mea  —EXEC_VIENA/.	Central Standard Note
num	E.s. II	nothing	yehar hyear Rrha num ra hymme cest mea  —EXEC_METAFALICA/.	Central Standard Note
nx	n.	next		Central Standard Note
nyamo	noun, verb	meowing		Unknown [Unofficial]
nyamonyas	noun	friend		Unknown [Unofficial]
nyanyas	adj.	cute, lovely, darling		Unknown [Unofficial]
nyasri	E.s. II	sad	Was nyasri ga hieg yorra guaysu  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
nyasyamorina	adjective	very happy		Unknown [Unofficial]
ocurp	noun	river mouth		Unknown [Unofficial]
ogbl	verb	coil into		Unknown [Unofficial]
olo	n.	night		New Testament of Pastalie
omness	n.	life, existence	x. rre omness a.u.k. zodaw ess rudje noglle doodu  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Unknown [Unofficial]
omnis	adj.	everything (direct object)	en sorr quen art ftt omnis crudea  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Metafalss Note
oriye	n.	ear		Central Standard Note
orn	adjective	only, sole, unique		Unknown [Unofficial]
orviclle	n.	problem, question, obstacle (Note	na orviclle can mean "no problem" or "it's okay").: Den na orviclle vis ween leaff  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
oter	pre.	out from ~ (note	only used in Hymmnos Spells)	Unknown [Unofficial]
oucc	adv.	together		New Testament of Pastalie
oure	pre.	more than anything	en melenas oure en yanwe oure sor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
ousye	v.	launch an attack, fall onto	fatere tes pauwel chs deleir en ousye yor  —EXEC_CHRONICLE KEY	Alpha Note (EOLIA)
ouvyu	n.	ruins	vega ouvyu giz sphaela  —METHOD_REPLEKIA/.	New Testament of Pastalie
ouwua	adj.	a lot, many, much	x. harr j.z.t. ouwua giz hymmnos  —METHOD_REPLEKIA/.	New Testament of Pastalie
oz	pre.	of (possessive article) (Note	Equivalent to the English "of", though depending on context, it isn't always necessary): Harr re heighte der gauzewiga oz ciel  —EXEC_METAFALICA/.	Central Standard Note
p.s.w.t.	E.v.	seize, adquire		New Testament of Pastalie
pagle	v.	talk, speak with	herra pagle harr riomo hueaf  —EXEC_METAFALICA/.	Central Standard Note
